method,controller_mode,benchmark,seed,source_config_path,run_id,generations,final_generation,final_hv,best_hv,best_generation,hv_auc,mean_hv,final_feasible_ratio,final_rank1_ratio,final_igd,final_igd_plus,final_spacing,final_spread,runtime_s,llm_overhead_s,num_actions,num_experiences,events_path,experiences_path,config_snapshot_path,generation_log_path,action_log_path,summary_path
baseline_nsga2,rule,unknown,100,tmp_seed_configs\baseline_nsga2_seed_100.yaml,run-b42c89762bc6,20,20,1.9717999999999993,3.6333000000000015,0,2.1200571428571426,2.1200571428571426,1.0,1.0,0.0,0.0,0.09999999999999942,0.15151686465822795,0.22320329991634935,0,0,0,experiments\runs\main_results\baseline_nsga2\seed_100\events.jsonl,,experiments\runs\main_results\baseline_nsga2\seed_100\config_snapshot.yaml,experiments\runs\main_results\baseline_nsga2\seed_100\generation_metrics.jsonl,experiments\runs\main_results\baseline_nsga2\seed_100\actions.jsonl,experiments\runs\main_results\baseline_nsga2\seed_100\summary.json
baseline_nsga2,rule,unknown,1234,tmp_seed_configs\baseline_nsga2_seed_1234.yaml,run-2540ab6cdfc0,20,20,1.9717999999999993,4.672800000000002,0,2.306533333333333,2.306533333333333,1.0,1.0,0.0,0.0,0.09999999999999942,0.15151686465822795,0.18250130000524223,0,0,0,experiments\runs\main_results\baseline_nsga2\seed_1234\events.jsonl,,experiments\runs\main_results\baseline_nsga2\seed_1234\config_snapshot.yaml,experiments\runs\main_results\baseline_nsga2\seed_1234\generation_metrics.jsonl,experiments\runs\main_results\baseline_nsga2\seed_1234\actions.jsonl,experiments\runs\main_results\baseline_nsga2\seed_1234\summary.json
baseline_nsga2,rule,unknown,2024,tmp_seed_configs\baseline_nsga2_seed_2024.yaml,run-1ace48fc938e,20,20,2.1011999999999986,3.745300000000001,0,2.236919047619047,2.236919047619047,1.0,1.0,0.0,0.0,0.1673320053068145,0.21235362348371653,0.2251824999693781,0,0,0,experiments\runs\main_results\baseline_nsga2\seed_2024\events.jsonl,,experiments\runs\main_results\baseline_nsga2\seed_2024\config_snapshot.yaml,experiments\runs\main_results\baseline_nsga2\seed_2024\generation_metrics.jsonl,experiments\runs\main_results\baseline_nsga2\seed_2024\actions.jsonl,experiments\runs\main_results\baseline_nsga2\seed_2024\summary.json
baseline_nsga2,rule,unknown,42,tmp_seed_configs\baseline_nsga2_seed_42.yaml,run-3c92583b0f5c,20,20,2.4893999999999985,5.1408000000000005,0,2.668842857142856,2.668842857142856,1.0,1.0,0.0,0.0,0.3435112807463529,0.35484340717696916,0.21066360000986606,0,0,0,experiments\runs\main_results\baseline_nsga2\seed_42\events.jsonl,,experiments\runs\main_results\baseline_nsga2\seed_42\config_snapshot.yaml,experiments\runs\main_results\baseline_nsga2\seed_42\generation_metrics.jsonl,experiments\runs\main_results\baseline_nsga2\seed_42\actions.jsonl,experiments\runs\main_results\baseline_nsga2\seed_42\summary.json
baseline_nsga2,rule,unknown,9999,tmp_seed_configs\baseline_nsga2_seed_9999.yaml,run-cee6cbaf083e,20,20,2.1011999999999986,3.809300000000002,1,2.313066666666666,2.313066666666666,1.0,1.0,0.0,0.0,0.1673320053068145,0.21235362348371653,0.21363180002663285,0,0,0,experiments\runs\main_results\baseline_nsga2\seed_9999\events.jsonl,,experiments\runs\main_results\baseline_nsga2\seed_9999\config_snapshot.yaml,experiments\runs\main_results\baseline_nsga2\seed_9999\generation_metrics.jsonl,experiments\runs\main_results\baseline_nsga2\seed_9999\actions.jsonl,experiments\runs\main_results\baseline_nsga2\seed_9999\summary.json
mock_llm_chain,mock_llm,unknown,100,tmp_seed_configs\mock_llm_seed_100.yaml,run-33f4ad93678c,12,12,1.9717999999999993,3.6333000000000015,0,2.1039384615384615,2.1039384615384615,1.0,1.0,0.0,0.0,0.09999999999999942,0.15151686465822795,0.14543419994879514,0.0007492000004276633,3,3,experiments\runs\main_results\mock_llm\seed_100\events.jsonl,experiments\runs\main_results\mock_llm\seed_100\experiences.jsonl,experiments\runs\main_results\mock_llm\seed_100\config_snapshot.yaml,experiments\runs\main_results\mock_llm\seed_100\generation_metrics.jsonl,experiments\runs\main_results\mock_llm\seed_100\actions.jsonl,experiments\runs\main_results\mock_llm\seed_100\summary.json
mock_llm_chain,mock_llm,unknown,1234,tmp_seed_configs\mock_llm_seed_1234.yaml,run-f5752202223a,12,12,2.1011999999999986,4.672800000000002,0,2.50256923076923,2.50256923076923,1.0,1.0,0.0,0.0,0.1673320053068145,0.21235362348371653,0.1316450999584049,0.0007656000088900328,3,3,experiments\runs\main_results\mock_llm\seed_1234\events.jsonl,experiments\runs\main_results\mock_llm\seed_1234\experiences.jsonl,experiments\runs\main_results\mock_llm\seed_1234\config_snapshot.yaml,experiments\runs\main_results\mock_llm\seed_1234\generation_metrics.jsonl,experiments\runs\main_results\mock_llm\seed_1234\actions.jsonl,experiments\runs\main_results\mock_llm\seed_1234\summary.json
mock_llm_chain,mock_llm,unknown,2024,tmp_seed_configs\mock_llm_seed_2024.yaml,run-4fd279fa6fcc,12,12,2.1011999999999986,3.745300000000001,0,2.320438461538461,2.320438461538461,1.0,1.0,0.0,0.0,0.09999999999999942,0.24406273820220042,0.11500460002571344,0.0006517000729218125,3,3,experiments\runs\main_results\mock_llm\seed_2024\events.jsonl,experiments\runs\main_results\mock_llm\seed_2024\experiences.jsonl,experiments\runs\main_results\mock_llm\seed_2024\config_snapshot.yaml,experiments\runs\main_results\mock_llm\seed_2024\generation_metrics.jsonl,experiments\runs\main_results\mock_llm\seed_2024\actions.jsonl,experiments\runs\main_results\mock_llm\seed_2024\summary.json
mock_llm_chain,mock_llm,unknown,42,tmp_seed_configs\mock_llm_seed_42.yaml,run-0ba6b98c7070,12,12,2.4093999999999984,5.1408000000000005,0,2.7238846153846143,2.7238846153846143,1.0,1.0,0.0,0.0,0.5727128425310528,0.6435592191270569,0.14126139995642006,0.0008821999654173851,3,3,experiments\runs\main_results\mock_llm\seed_42\events.jsonl,experiments\runs\main_results\mock_llm\seed_42\experiences.jsonl,experiments\runs\main_results\mock_llm\seed_42\config_snapshot.yaml,experiments\runs\main_results\mock_llm\seed_42\generation_metrics.jsonl,experiments\runs\main_results\mock_llm\seed_42\actions.jsonl,experiments\runs\main_results\mock_llm\seed_42\summary.json
mock_llm_chain,mock_llm,unknown,9999,tmp_seed_configs\mock_llm_seed_9999.yaml,run-ce5e6fe92c62,12,12,2.1011999999999986,3.809300000000002,1,2.4434461538461534,2.4434461538461534,1.0,1.0,0.0,0.0,0.1673320053068145,0.21235362348371653,0.13727329997345805,0.0007894998416304588,3,3,experiments\runs\main_results\mock_llm\seed_9999\events.jsonl,experiments\runs\main_results\mock_llm\seed_9999\experiences.jsonl,experiments\runs\main_results\mock_llm\seed_9999\config_snapshot.yaml,experiments\runs\main_results\mock_llm\seed_9999\generation_metrics.jsonl,experiments\runs\main_results\mock_llm\seed_9999\actions.jsonl,experiments\runs\main_results\mock_llm\seed_9999\summary.json
